Special Purpose Gadget Counts + Introduction
Package Variant,Syscall Gadgets,JOP Dispatcher Gadgets,JOP Dataloader Gadgets,JOP Initializers,JOP Trampolines,COP Dispatcher Gadgets,COP Dataloader Gadgets,COP Initializers,COP Strong Trampoline Gadgets,COP Intra-stack Pivot Gadgets
Original,35,93,347,0,9,88,135,0,0,17
Original,32 (3; 8.6%),90 (3; 3.2%),91 (256; 73.8%),0 (0; 0.0%),2 (7; 77.8%),76 (12; 13.6%),73 (62; 45.9%),0 (0; 0.0%),0 (0; 0.0%),5 (12; 70.6%)
Original,34 (1; 2.9%),92 (1; 1.1%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),80 (8; 9.1%),106 (29; 21.5%),0 (0; 0.0%),0 (0; 0.0%),8 (9; 52.9%)
Original,34 (1; 2.9%),92 (1; 1.1%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),80 (8; 9.1%),107 (28; 20.7%),0 (0; 0.0%),0 (0; 0.0%),8 (9; 52.9%)
Original,34 (1; 2.9%),92 (1; 1.1%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),80 (8; 9.1%),107 (28; 20.7%),0 (0; 0.0%),0 (0; 0.0%),8 (9; 52.9%)
Original,34 (1; 2.9%),93 (0; 0.0%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),81 (7; 8.0%),107 (28; 20.7%),0 (0; 0.0%),0 (0; 0.0%),9 (8; 47.1%)
Original,34 (1; 2.9%),93 (0; 0.0%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),81 (7; 8.0%),107 (28; 20.7%),0 (0; 0.0%),0 (0; 0.0%),9 (8; 47.1%)
Original,34 (1; 2.9%),93 (0; 0.0%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),81 (7; 8.0%),109 (26; 19.3%),0 (0; 0.0%),0 (0; 0.0%),9 (8; 47.1%)
Original,34 (1; 2.9%),93 (0; 0.0%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),81 (7; 8.0%),109 (26; 19.3%),0 (0; 0.0%),0 (0; 0.0%),9 (8; 47.1%)
Original,34 (1; 2.9%),93 (0; 0.0%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),81 (7; 8.0%),109 (26; 19.3%),0 (0; 0.0%),0 (0; 0.0%),9 (8; 47.1%)
Original,34 (1; 2.9%),93 (0; 0.0%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),81 (7; 8.0%),109 (26; 19.3%),0 (0; 0.0%),0 (0; 0.0%),9 (8; 47.1%)
Original,34 (1; 2.9%),93 (0; 0.0%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),81 (7; 8.0%),109 (26; 19.3%),0 (0; 0.0%),0 (0; 0.0%),9 (8; 47.1%)
Original,34 (1; 2.9%),93 (0; 0.0%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),81 (7; 8.0%),109 (26; 19.3%),0 (0; 0.0%),0 (0; 0.0%),9 (8; 47.1%)
Original,34 (1; 2.9%),93 (0; 0.0%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),81 (7; 8.0%),109 (26; 19.3%),0 (0; 0.0%),0 (0; 0.0%),9 (8; 47.1%)
Original,34 (1; 2.9%),93 (0; 0.0%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),81 (7; 8.0%),109 (26; 19.3%),0 (0; 0.0%),0 (0; 0.0%),9 (8; 47.1%)
Original,34 (1; 2.9%),93 (0; 0.0%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),81 (7; 8.0%),110 (25; 18.5%),0 (0; 0.0%),0 (0; 0.0%),9 (8; 47.1%)
Original,34 (1; 2.9%),93 (0; 0.0%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),81 (7; 8.0%),110 (25; 18.5%),0 (0; 0.0%),0 (0; 0.0%),9 (8; 47.1%)
Original,34 (1; 2.9%),93 (0; 0.0%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),81 (7; 8.0%),110 (25; 18.5%),0 (0; 0.0%),0 (0; 0.0%),9 (8; 47.1%)
Original,34 (1; 2.9%),93 (0; 0.0%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),81 (7; 8.0%),110 (25; 18.5%),0 (0; 0.0%),0 (0; 0.0%),9 (8; 47.1%)
Original,34 (1; 2.9%),93 (0; 0.0%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),81 (7; 8.0%),110 (25; 18.5%),0 (0; 0.0%),0 (0; 0.0%),9 (8; 47.1%)
Original,34 (1; 2.9%),93 (0; 0.0%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),81 (7; 8.0%),113 (22; 16.3%),0 (0; 0.0%),0 (0; 0.0%),11 (6; 35.3%)
Original,34 (1; 2.9%),93 (0; 0.0%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),81 (7; 8.0%),113 (22; 16.3%),0 (0; 0.0%),0 (0; 0.0%),11 (6; 35.3%)
Original,34 (1; 2.9%),93 (0; 0.0%),226 (121; 34.9%),0 (0; 0.0%),5 (4; 44.4%),81 (7; 8.0%),113 (22; 16.3%),0 (0; 0.0%),0 (0; 0.0%),11 (6; 35.3%)
Original,34 (1; 2.9%),93 (0; 0.0%),227 (120; 34.6%),0 (0; 0.0%),5 (4; 44.4%),81 (7; 8.0%),113 (22; 16.3%),0 (0; 0.0%),0 (0; 0.0%),11 (6; 35.3%)
Original,34 (1; 2.9%),93 (0; 0.0%),243 (104; 30.0%),0 (0; 0.0%),5 (4; 44.4%),82 (6; 6.8%),114 (21; 15.6%),0 (0; 0.0%),0 (0; 0.0%),11 (6; 35.3%)
Original,34 (1; 2.9%),93 (0; 0.0%),243 (104; 30.0%),0 (0; 0.0%),5 (4; 44.4%),82 (6; 6.8%),115 (20; 14.8%),0 (0; 0.0%),0 (0; 0.0%),11 (6; 35.3%)
Original,34 (1; 2.9%),93 (0; 0.0%),243 (104; 30.0%),0 (0; 0.0%),5 (4; 44.4%),82 (6; 6.8%),115 (20; 14.8%),0 (0; 0.0%),0 (0; 0.0%),11 (6; 35.3%)
Original,34 (1; 2.9%),93 (0; 0.0%),243 (104; 30.0%),0 (0; 0.0%),5 (4; 44.4%),82 (6; 6.8%),115 (20; 14.8%),0 (0; 0.0%),0 (0; 0.0%),11 (6; 35.3%)
Original,34 (1; 2.9%),93 (0; 0.0%),243 (104; 30.0%),0 (0; 0.0%),5 (4; 44.4%),82 (6; 6.8%),115 (20; 14.8%),0 (0; 0.0%),0 (0; 0.0%),11 (6; 35.3%)
Original,34 (1; 2.9%),93 (0; 0.0%),243 (104; 30.0%),0 (0; 0.0%),5 (4; 44.4%),82 (6; 6.8%),115 (20; 14.8%),0 (0; 0.0%),0 (0; 0.0%),11 (6; 35.3%)
Original,34 (1; 2.9%),93 (0; 0.0%),243 (104; 30.0%),0 (0; 0.0%),5 (4; 44.4%),82 (6; 6.8%),115 (20; 14.8%),0 (0; 0.0%),0 (0; 0.0%),11 (6; 35.3%)
Original,34 (1; 2.9%),93 (0; 0.0%),243 (104; 30.0%),0 (0; 0.0%),5 (4; 44.4%),82 (6; 6.8%),115 (20; 14.8%),0 (0; 0.0%),0 (0; 0.0%),11 (6; 35.3%)
Original,34 (1; 2.9%),93 (0; 0.0%),245 (102; 29.4%),0 (0; 0.0%),5 (4; 44.4%),82 (6; 6.8%),116 (19; 14.1%),0 (0; 0.0%),0 (0; 0.0%),12 (5; 29.4%)
